All living beings	need	water to live
Water	is important for	proper growth and development of flowers
Water	is	important
Water	is absorbed by	roots
Plants	contain	% water
germination of seeds	does not take	place
germination of seeds	does not take place under	dry conditions
place	does not take under	dry conditions
Water	is	essential
Nutrients dissolved in water	get transported to	each part of the plant
Nutrients	be dissolved in	water
Water	also protects	crop
supply of water	is called	irrigation
frequency of watering	is higher in	summer
wells , tubewells , ponds , lakes , rivers , dams and canals	be The sources of	irrigation
available	is lifted up by	methods
water	be available in	wells , lakes and canals
water	be taking to	fields
Cattle or human labour	is used in	methods
Diesel	to run	pumps
us	Modern methods of irrigation help to use economically	water
us	to use water economically	Modern methods of irrigation help
us	be Modern methods of	irrigation help
system	is useful on	uneven land where sufficient water is not available
sufficient water	is	not available
system	is	useful
perpendicular pipes having nozzles	are joined at	regular intervals
perpendicular pipes having nozzles	are joined to	main pipeline
water	to flow through	pipe
water	to flow with	help of a pump
It	gets sprinkled on	crop
water	falls drop at	position of roots
water	falls drop by	drop
water	falls drop in	system
water	falls	drop
system	So is called	system
It	is the best technique for	watering fruit plants , gardens and trees
It	is	best technique
It	is a boon in	regions where availability of water is poor
poor	be availability of	water
It	is	boon
availability of water	is	poor
